Player,Pos,School,Conference,State,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle
Michael Turk,P,Oklahoma,Big 12,Oklahoma,6-0,227,4.83,34.0,,109.0,,
DJ Turner,CB,Michigan,Big Ten,Michigan,5-11,178,4.26,38.5,,131.0,,
Carrington Valentine,CB,Kentucky,SEC,Kentucky,6-0,193,,39.0,9.0,128.0,,
Deuce Vaughn,RB,Kansas St.,Big 12,Kansas,5-5,179,,35.5,,116.0,,
Travis Vokolek,TE,Nebraska,Big Ten,Nebraska,6-6,259,,,20.0,115.0,,
Andrew Vorhees,G,USC,PAC-12,California,6-6,310,,29.0,,105.0,,
Dalton Wagner,OT,Arkansas,SEC,Arkansas,6-8,320,,24.5,,102.0,,
Alex Ward,LS,Central Florida,AAC,Florida,6-4,240,5.06,30.0,12.0,114.0,,4.46
Jay Ward,CB,LSU,SEC,Louisiana,6-1,188,4.55,34.5,16.0,132.0,,
Carter Warren,OT,Pittsburgh,ACC,Pennsylvania,6-6,311,,,,,,
Darnell Washington,TE,Georgia,SEC,Georgia,6-7,264,,31.0,21.0,122.0,,4.08
Parker Washington,WR,Penn St.,Big Ten,Pennsylvania,5-10,204,,,16.0,,,
Jalen Wayne,WR,South Alabama,Sun Belt,Alabama,6-2,210,4.51,34.5,,124.0,,
Tyrus Wheat,EDGE,Mississippi St.,SEC,Mississippi,6-2,263,4.65,28.5,,113.0,,4.54
Keion White,EDGE,Georgia Tech,ACC,Georgia,6-5,285,,34.0,30.0,117.0,,
Blake Whiteheart,TE,Wake Forest,ACC,North Carolina,6-4,247,,35.5,20.0,115.0,,
Josh Whyle,TE,Cincinnati,AAC,Ohio,6-7,248,,33.5,,115.0,,
Dontayvion Wicks,WR,Virginia,ACC,Virginia,6-1,206,4.62,39.0,,130.0,,
Dorian Williams,LB,Tulane,AAC,Louisiana,6-1,228,4.49,33.5,,120.0,,
Garrett Williams,CB,Syracuse,ACC,New York,5-10,192,,,,,,
Brayden Willis,TE,Oklahoma,Big 12,Oklahoma,6-4,241,,32.0,20.0,117.0,7.3,4.36
Michael Wilson,WR,Stanford,PAC-12,California,6-2,213,4.58,37.5,23.0,125.0,,4.27
Tyree Wilson,EDGE,Texas Tech,Big 12,Texas,6-6,271,,,23.0,,,
Dee Winters,LB,TCU,Big 12,Texas,5-11,227,4.49,30.5,,117.0,,
Devon Witherspoon,CB,Illinois,Big Ten,Illinois,6-0,181,,,,,,
Colby Wooden,DE,Auburn,SEC,Alabama,6-4,273,4.79,,23.0,115.0,,4.52
Darnell Wright,OT,Tennessee,SEC,Tennessee,6-5,333,5.01,29.0,,114.0,,
Rejzohn Wright,CB,Oregon St.,PAC-12,Oregon,6-2,193,,,,,,
Luke Wypler,C,Ohio St.,Big Ten,Ohio,6-3,303,5.14,30.5,,106.0,7.64,4.53
Bryce Young,QB,Alabama,SEC,Alabama,5-10,204,,,,,,
Byron Young,EDGE,Tennessee,SEC,Tennessee,6-2,250,4.43,38.0,22.0,132.0,7.19,
Byron Young,DT,Alabama,SEC,Alabama,6-3,294,,26.0,24.0,108.0,7.68,
Cameron Young,DT,Mississippi St.,SEC,Mississippi,6-3,304,5.1,,,,,
