Player,Pos,School,Conference,State,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle
Isaiah Land,EDGE,Florida A&M,MEAC,Florida,6-4,236,4.62,34.5,21.0,126.0,7.2,4.56
Matt Landers,WR,Arkansas,SEC,Arkansas,6-4,200,4.37,37.0,,130.0,,
Sam LaPorta,TE,Iowa,Big Ten,Iowa,6-3,245,,35.0,,123.0,6.91,4.25
Cameron Latu,TE,Alabama,SEC,Alabama,6-4,242,,,,,,
Eku Leota,EDGE,Auburn,SEC,Alabama,6-3,252,,,,,,
Will Levis,QB,Kentucky,SEC,Kentucky,6-4,229,,34.0,,124.0,,
Hunter Luepke,FB,North Dakota St.,MVFC,North Dakota,6-1,230,,,,,,
Will Mallory,TE,Miami,ACC,Florida,6-5,239,,36.5,20.0,121.0,,
Tashawn Manning,G,Kentucky,SEC,Kentucky,6-3,327,5.34,27.5,,102.0,7.9,4.8
Jartavius Martin,SAF,Illinois,Big Ten,Illinois,5-11,194,4.46,44.0,15.0,133.0,,
Ochaun Mathis,EDGE,Nebraska,Big Ten,Nebraska,6-5,250,4.74,33.5,21.0,118.0,,4.38
Cody Mauch,OT,North Dakota St.,MVFC,North Dakota,6-5,302,5.08,29.0,,108.0,7.33,4.55
Michael Mayer,TE,Notre Dame,Independent,Indiana,6-5,249,,32.5,,118.0,,
DeWayne McBride,RB,Alabama-Birmingham,Conference USA,Alabama,5-10,209,,,,,,
Warren McClendon,OT,Georgia,SEC,Georgia,6-4,306,,,,,,
Jordan McFadden,G,Clemson,ACC,South Carolina,6-2,303,4.99,28.5,,,7.7,4.81
Isaiah McGuire,DE,Missouri,SEC,Missouri,6-4,268,4.76,36.5,,122.0,7.39,
Kenny McIntosh,RB,Georgia,SEC,Georgia,6-0,204,4.62,,,,,
Tanner McKee,QB,Stanford,PAC-12,California,6-6,231,,33.0,,114.0,7.22,4.41
Kaevon Merriweather,SAF,Iowa,Big Ten,Iowa,6-0,205,4.62,35.5,,118.0,,
Kendre Miller,RB,TCU,Big 12,Texas,5-11,215,,,,,,
Ventrell Miller,LB,Florida,SEC,Florida,6-0,232,,,,,,
Marvin Mims,WR,Oklahoma,Big 12,Oklahoma,5-11,183,4.38,39.5,,129.0,6.9,
Jonathan Mingo,WR,Mississippi,SEC,Mississippi,6-2,220,4.46,39.5,22.0,129.0,,
Cameron Mitchell,CB,Northwestern,Big Ten,Illinois,5-11,191,4.47,35.0,15.0,,,
Keaton Mitchell,RB,East Carolina,AAC,North Carolina,5-8,179,4.37,38.0,,126.0,,
Jake Moody,K,Michigan,Big Ten,Michigan,6-1,209,,,,,,
Isaiah Moore,LB,North Carolina St.,ACC,North Carolina,6-2,233,,,26.0,,,
Jalen Moreno-Cropper,WR,Fresno St.,Mountain West,California,5-11,172,4.4,,,121.0,,
Mike Morris,DE,Michigan,Big Ten,Michigan,6-5,275,4.95,28.5,22.0,110.0,,
Wanya Morris,OT,Oklahoma,Big 12,Oklahoma,6-5,307,5.1,28.5,,111.0,,
Riley Moss,CB,Iowa,Big Ten,Iowa,6-1,193,4.45,39.0,,127.0,,
Caleb Murphy,EDGE,Ferris St.,GLIAC,Michigan,6-3,254,4.81,28.5,,119.0,7.28,4.45
Myles Murphy,EDGE,Clemson,ACC,South Carolina,6-5,268,,,25.0,,,
Luke Musgrave,TE,Oregon St.,PAC-12,Oregon,6-6,253,,36.0,,125.0,,
PJ Mustipher,DT,Penn St.,Big Ten,Pennsylvania,6-4,320,5.41,27.5,19.0,96.0,8.01,5.03
Puka Nacua,WR,BYU,Independent,Utah,6-2,201,,,,,,
Lukas Van Ness,EDGE,Iowa,Big Ten,Iowa,6-5,272,4.58,31.0,17.0,118.0,7.02,4.32
Joseph Ngata,WR,Clemson,ACC,South Carolina,6-3,217,4.54,34.5,,124.0,,
Aidan O'Connell,QB,Purdue,Big Ten,Indiana,6-3,213,,,,,,
Moro Ojomo,DT,Texas,Big 12,Texas,6-3,292,5.04,33.0,29.0,112.0,,
John Ojukwu,OT,Boise St.,Mountain West,Illinois,6-6,309,5.24,28.5,,104.0,7.52,4.52
BJ Ojulari,EDGE,LSU,SEC,Louisiana,6-2,248,,32.5,,126.0,,
Olusegun Oluwatimi,C,Michigan,Big Ten,Michigan,6-3,309,5.38,29.0,,110.0,,
Anfernee Orji,LB,Vanderbilt,SEC,Tennessee,6-1,230,4.53,38.5,,122.0,7.0,4.43
DeMarvion Overshown,LB,Texas,Big 12,Texas,6-3,229,4.56,,15.0,124.0,,
Gervarrius Owens,SAF,Houston,AAC,Texas,6-0,195,,37.5,15.0,125.0,,
Trey Palmer,WR,Nebraska,Big Ten,Nebraska,6-0,192,4.33,,,,,
Owen Pappoe,LB,Auburn,SEC,Alabama,6-0,225,4.39,35.5,29.0,126.0,,
Jarrett Patterson,C,Notre Dame,Independent,Indiana,6-5,306,5.33,29.5,,106.0,7.96,4.73
Kyle Patterson,TE,Air Force,Mountain West,Colorado,6-5,260,,,,,,
Camerun Peoples,RB,Appalachian St.,Sun Belt,North Carolina,6-1,217,4.61,37.0,,121.0,,
